,primary key,before,after
0,만리동 복합건축물 신축공사장,만리동1가 32-1,
0,매경미디어센터,퇴계로 190(필동1가),
0,맥스타일,중구 마장로 3,서울 중구 마장로 3
0,메가빌딩,노해로 459(상계6동 709-2),
0,메트로디오빌,백범로 199 (신공덕동),
0,멤버스빌오피스,가마산로 283,서울 구로구 가마산로 283
0,면목라온 프라이빗,동일로91길 23(면목동),
0,명동예술극장,명동길 35,서울 중구 명동길 35
0,명동타워,명동8길 27(명동2가),
0,명지대학교,거북골로 34(남가좌동 50-3),
0,명지빌드웰 오피스텔,양화로 58 (서교동),
0,명지빌드웰오피스텔,양화로 58 (서교동),
0,모노퍼스,청계천로 474 (하왕십리동),
0,모비우스 스퀘어,도봉로684,서울 도봉구 도봉로 684
0,모비우스스퀘어,도봉로 684,서울 도봉구 도봉로 684
0,목5동통합청사,목동서로 41(목동),
0,목동가든스위트,목동서로 65 (목동),
0,목동센트럴아이파크,서울 양천구 남부순환로83길 17,서울 양천구 남부순환로83길 17
0,목동센트럴위브,서울 양천구 남부순환로83길 17,서울 양천구 남부순환로83길 17
0,목동센트럴프라자,목동서로 349 (신정동),
0,목동센트럴프르지오,오목로 354(목동),
0,목동우림필유,"목동서로 295, (신정동)",
0,목동제이월드빌,"목동서로 291, (신정동)",
0,목동트라팰리스,서울 양천구 오목로 299,서울 양천구 오목로 299
0,목동트윈빌,"목동동로 339, (목동)",
0,목동파라곤오피스텔,목동서로 155 (목동 917-7),
0,무궁화빌딩,도봉로164길 43,서울 도봉구 도봉로164길 43
0,무신사,아차산로13길 11(성수동2가),
0,무신사 신사옥 신축공사,연무장길 83(성수동2가),
0,무학빌딩,고산자로 202(행당동),
0,문래SKV1센터관리운영위원회,서울 영등포구 선유로9길 10,서울 영등포구 선유로9길 10
0,문정 SKV1GL,"법원로 128(문정동 642-3, 문정지구1-2)",
0,문정대명벨리온 관리단,"문정동 641-3 ,4-3블럭 )",
0,문정에스케이브이원지,"법원로 128(문정동 642-3, 문정지구1-2) 문정에스케이브이원지",
0,문정오벨리스크,"송파대로 145 (문정동 652-2 ,문정지구8-2블록 ) (주)한화건설 / 문정오벨리스크",
0,문정파트너스관리사무소,법원로 90(문정동 651-15),
0,문정프라자((주)케이리얼티3호),중대로 80(문정동 150-2),
